"filename", "language", "HTML", "Dart", "JSON", "YAML", "Markdown", "C++", "CMake", "Swift", "XML", "Properties", "Gradle", "comment", "blank", "total"
"f:\code\inter_knot\.github\workflows\flutter_analysis.yml", "YAML", 0, 0, 0, 26, 0, 0, 0, 0, 0, 0, 0, 0, 8, 34
"f:\code\inter_knot\.github\workflows\main.yml", "YAML", 0, 0, 0, 106, 0, 0, 0, 0, 0, 0, 0, 0, 11, 117
"f:\code\inter_knot\README.md", "Markdown", 0, 0, 0, 0, 10, 0, 0, 0, 0, 0, 0, 0, 7, 17
"f:\code\inter_knot\analysis_options.yaml", "YAML", 0, 0, 0, 3, 0, 0, 0, 0, 0, 0, 0, 22, 4, 29
"f:\code\inter_knot\android\app\build.gradle", "Gradle", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 32, 6, 7, 45
"f:\code\inter_knot\android\app\src\debug\AndroidManifest.xml", "XML", 0, 0, 0, 0, 0, 0, 0, 0, 3, 0, 0, 4, 1, 8
"f:\code\inter_knot\android\app\src\main\AndroidManifest.xml", "XML", 0, 0, 0, 0, 0, 0, 0, 0, 35, 0, 0, 11, 0, 46
"f:\code\inter_knot\android\app\src\main\res\drawable-v21\launch_background.xml", "XML", 0, 0, 0, 0, 0, 0, 0, 0, 4, 0, 0, 7, 2, 13
"f:\code\inter_knot\android\app\src\main\res\drawable\launch_background.xml", "XML", 0, 0, 0, 0, 0, 0, 0, 0, 4, 0, 0, 7, 2, 13
"f:\code\inter_knot\android\app\src\main\res\values-night\styles.xml", "XML", 0, 0, 0, 0, 0, 0, 0, 0, 9, 0, 0, 9, 1, 19
"f:\code\inter_knot\android\app\src\main\res\values\styles.xml", "XML", 0, 0, 0, 0, 0, 0, 0, 0, 9, 0, 0, 9, 1, 19
"f:\code\inter_knot\android\app\src\profile\AndroidManifest.xml", "XML", 0, 0, 0, 0, 0, 0, 0, 0, 3, 0, 0, 4, 1, 8
"f:\code\inter_knot\android\build.gradle", "Gradle", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 16, 0, 5, 21
"f:\code\inter_knot\android\gradle.properties", "Properties", 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 0, 0, 1, 4
"f:\code\inter_knot\android\gradle\wrapper\gradle-wrapper.properties", "Properties", 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 0, 0, 1, 6
"f:\code\inter_knot\android\settings.gradle", "Gradle", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 21, 0, 5, 26
"f:\code\inter_knot\ios\RunnerTests\RunnerTests.swift", "Swift", 0, 0, 0, 0, 0, 0, 0, 7, 0, 0, 0, 2, 4, 13
"f:\code\inter_knot\ios\Runner\AppDelegate.swift", "Swift", 0, 0, 0, 0, 0, 0, 0, 12, 0, 0, 0, 0, 2, 14
"f:\code\inter_knot\ios\Runner\Assets.xcassets\AppIcon.appiconset\Contents.json", "JSON", 0, 0, 122, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 123
"f:\code\inter_knot\ios\Runner\Assets.xcassets\LaunchImage.imageset\Contents.json", "JSON", 0, 0, 23, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 24
"f:\code\inter_knot\ios\Runner\Assets.xcassets\LaunchImage.imageset\README.md", "Markdown", 0, 0, 0, 0, 3, 0, 0, 0, 0, 0, 0, 0, 2, 5
"f:\code\inter_knot\ios\Runner\Base.lproj\LaunchScreen.storyboard", "XML", 0, 0, 0, 0, 0, 0, 0, 0, 36, 0, 0, 1, 1, 38
"f:\code\inter_knot\ios\Runner\Base.lproj\Main.storyboard", "XML", 0, 0, 0, 0, 0, 0, 0, 0, 25, 0, 0, 1, 1, 27
"f:\code\inter_knot\ios\Runner\Runner-Bridging-Header.h", "C++", 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1, 2
"f:\code\inter_knot\lib\api.dart", "Dart", 0, 475, 0, 0, 0, 0, 0, 0, 0, 0, 0, 9, 18, 502
"f:\code\inter_knot\lib\api\common.dart", "Dart", 0, 35, 0, 0, 0, 0, 0, 0, 0, 0, 0, 9, 4, 48
"f:\code\inter_knot\lib\api\gen_token.dart", "Dart", 0, 12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 15
"f:\code\inter_knot\lib\api\get_repositories_count.dart", "Dart", 0, 19, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 22
"f:\code\inter_knot\lib\data.dart", "Dart", 0, 252, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 30, 283
"f:\code\inter_knot\lib\gen\assets.gen.dart", "Dart", 0, 90, 0, 0, 0, 0, 0, 0, 0, 0, 0, 12, 18, 120
"f:\code\inter_knot\lib\l10n.dart", "Dart", 0, 40, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 42
"f:\code\inter_knot\lib\main.dart", "Dart", 0, 160, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 10, 170
"f:\code\inter_knot\lib\pages\article_page.dart", "Dart", 0, 420, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 27, 447
"f:\code\inter_knot\lib\pages\notifications_page.dart", "Dart", 0, 83, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8, 91
"f:\code\inter_knot\lib\pages\search_page.dart", "Dart", 0, 95, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8, 103
"f:\code\inter_knot\lib\widget\avatar.dart", "Dart", 0, 33, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 37
"f:\code\inter_knot\lib\widget\comment_count.dart", "Dart", 0, 19, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 24
"f:\code\inter_knot\lib\widget\discussion_card.dart", "Dart", 0, 139, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 10, 149
"f:\code\inter_knot\lib\widget\github_button.dart", "Dart", 0, 14, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 19
"f:\code\inter_knot\lib\widget\window_buttons.dart", "Dart", 0, 16, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 19
"f:\code\inter_knot\linux\flutter\generated_plugin_registrant.cc", "C++", 0, 0, 0, 0, 0, 19, 0, 0, 0, 0, 0, 4, 5, 28
"f:\code\inter_knot\linux\flutter\generated_plugin_registrant.h", "C++", 0, 0, 0, 0, 0, 5, 0, 0, 0, 0, 0, 5, 6, 16
"f:\code\inter_knot\linux\flutter\generated_plugins.cmake", "CMake", 0, 0, 0, 0, 0, 0, 22, 0, 0, 0, 0, 0, 6, 28
"f:\code\inter_knot\linux\main.cc", "C++", 0, 0, 0, 0, 0, 5, 0, 0, 0, 0, 0, 0, 2, 7
"f:\code\inter_knot\linux\my_application.cc", "C++", 0, 0, 0, 0, 0, 82, 0, 0, 0, 0, 0, 17, 26, 125
"f:\code\inter_knot\linux\my_application.h", "C++", 0, 0, 0, 0, 0, 7, 0, 0, 0, 0, 0, 7, 5, 19
"f:\code\inter_knot\macos\Flutter\GeneratedPluginRegistrant.swift", "Swift", 0, 0, 0, 0, 0, 0, 0, 30, 0, 0, 0, 3, 4, 37
"f:\code\inter_knot\macos\RunnerTests\RunnerTests.swift", "Swift", 0, 0, 0, 0, 0, 0, 0, 7, 0, 0, 0, 2, 4, 13
"f:\code\inter_knot\macos\Runner\AppDelegate.swift", "Swift", 0, 0, 0, 0, 0, 0, 0, 11, 0, 0, 0, 0, 3, 14
"f:\code\inter_knot\macos\Runner\Assets.xcassets\AppIcon.appiconset\Contents.json", "JSON", 0, 0, 68, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 68
"f:\code\inter_knot\macos\Runner\Base.lproj\MainMenu.xib", "XML", 0, 0, 0, 0, 0, 0, 0, 0, 343, 0, 0, 0, 1, 344
"f:\code\inter_knot\macos\Runner\MainFlutterWindow.swift", "Swift", 0, 0, 0, 0, 0, 0, 0, 17, 0, 0, 0, 0, 5, 22
"f:\code\inter_knot\pubspec.yaml", "YAML", 0, 0, 0, 52, 0, 0, 0, 0, 0, 0, 0, 0, 6, 58
"f:\code\inter_knot\test\widget_test.dart", "Dart", 0, 14, 0, 0, 0, 0, 0, 0, 0, 0, 0, 10, 7, 31
"f:\code\inter_knot\web\index.html", "HTML", 19, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 15, 5, 39
"f:\code\inter_knot\web\manifest.json", "JSON", 0, 0, 35, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 35
"f:\code\inter_knot\windows\flutter\generated_plugin_registrant.cc", "C++", 0, 0, 0, 0, 0, 15, 0, 0, 0, 0, 0, 4, 5, 24
"f:\code\inter_knot\windows\flutter\generated_plugin_registrant.h", "C++", 0, 0, 0, 0, 0, 5, 0, 0, 0, 0, 0, 5, 6, 16
"f:\code\inter_knot\windows\flutter\generated_plugins.cmake", "CMake", 0, 0, 0, 0, 0, 0, 22, 0, 0, 0, 0, 0, 6, 28
"f:\code\inter_knot\windows\runner\flutter_window.cpp", "C++", 0, 0, 0, 0, 0, 47, 0, 0, 0, 0, 0, 7, 16, 70
"f:\code\inter_knot\windows\runner\flutter_window.h", "C++", 0, 0, 0, 0, 0, 20, 0, 0, 0, 0, 0, 5, 9, 34
"f:\code\inter_knot\windows\runner\main.cpp", "C++", 0, 0, 0, 0, 0, 87, 0, 0, 0, 0, 0, 0, 0, 87
"f:\code\inter_knot\windows\runner\resource.h", "C++", 0, 0, 0, 0, 0, 9, 0, 0, 0, 0, 0, 6, 2, 17
"f:\code\inter_knot\windows\runner\utils.cpp", "C++", 0, 0, 0, 0, 0, 54, 0, 0, 0, 0, 0, 2, 10, 66
"f:\code\inter_knot\windows\runner\utils.h", "C++", 0, 0, 0, 0, 0, 8, 0, 0, 0, 0, 0, 6, 6, 20
"f:\code\inter_knot\windows\runner\win32_window.cpp", "C++", 0, 0, 0, 0, 0, 210, 0, 0, 0, 0, 0, 24, 55, 289
"f:\code\inter_knot\windows\runner\win32_window.h", "C++", 0, 0, 0, 0, 0, 48, 0, 0, 0, 0, 0, 31, 24, 103
"Total", "-", 19, 1916, 248, 187, 13, 622, 44, 84, 471, 8, 69, 267, 452, 4400